Force (N),Position (mm),Stress (MPa),Strain (%),InFill %,InFill Type,Mesh Type,No of Mesh Layers,Base Material
592,0.926,8.59,1.85,15,Hex,Without mesh,0,PTA
593,0.928,8.6,1.86,15,Hex,Without mesh,0,PTA
594,0.931,8.63,1.86,15,Hex,Without mesh,0,PTA
596,0.933,8.64,1.87,15,Hex,Without mesh,0,PTA
597,0.936,8.66,1.87,15,Hex,Without mesh,0,PTA
598,0.938,8.68,1.88,15,Hex,Without mesh,0,PTA
599,0.941,8.7,1.88,15,Hex,Without mesh,0,PTA
601,0.943,8.72,1.89,15,Hex,Without mesh,0,PTA
602,0.946,8.74,1.89,15,Hex,Without mesh,0,PTA
603,0.948,8.75,1.9,15,Hex,Without mesh,0,PTA
605,0.951,8.78,1.9,15,Hex,Without mesh,0,PTA
606,0.953,8.8,1.91,15,Hex,Without mesh,0,PTA
607,0.956,8.82,1.91,15,Hex,Without mesh,0,PTA
609,0.958,8.84,1.92,15,Hex,Without mesh,0,PTA
610,0.961,8.85,1.92,15,Hex,Without mesh,0,PTA
612,0.963,8.88,1.93,15,Hex,Without mesh,0,PTA
613,0.966,8.89,1.93,15,Hex,Without mesh,0,PTA
614,0.968,8.91,1.94,15,Hex,Without mesh,0,PTA
615,0.971,8.93,1.94,15,Hex,Without mesh,0,PTA
617,0.973,8.96,1.95,15,Hex,Without mesh,0,PTA
618,0.976,8.97,1.95,15,Hex,Without mesh,0,PTA
620,0.978,9,1.96,15,Hex,Without mesh,0,PTA
621,0.981,9.01,1.96,15,Hex,Without mesh,0,PTA
623,0.983,9.04,1.97,15,Hex,Without mesh,0,PTA
624,0.986,9.06,1.97,15,Hex,Without mesh,0,PTA
625,0.989,9.08,1.98,15,Hex,Without mesh,0,PTA
627,0.991,9.1,1.98,15,Hex,Without mesh,0,PTA
628,0.994,9.12,1.99,15,Hex,Without mesh,0,PTA
