Force (N),Position (mm),Stress (MPa),Strain (%),InFill %,InFill Type,mesh Type,Number of mesh layers,BaseMaterial
538,0.811,8.27,1.62,15,3D,Without Mesh,0,PLA
538,0.813,8.27,1.63,15,3D,Without Mesh,0,PLA
540,0.816,8.3,1.63,15,3D,Without Mesh,0,PLA
540,0.818,8.31,1.64,15,3D,Without Mesh,0,PLA
542,0.82,8.33,1.64,15,3D,Without Mesh,0,PLA
543,0.822,8.35,1.64,15,3D,Without Mesh,0,PLA
544,0.824,8.37,1.65,15,3D,Without Mesh,0,PLA
545,0.826,8.39,1.65,15,3D,Without Mesh,0,PLA
547,0.829,8.41,1.66,15,3D,Without Mesh,0,PLA
548,0.831,8.43,1.66,15,3D,Without Mesh,0,PLA
549,0.833,8.44,1.67,15,3D,Without Mesh,0,PLA
550,0.835,8.46,1.67,15,3D,Without Mesh,0,PLA
